Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Trabajo dirigido de grado de pregrado,Estado del Arte de la Ingeniería de Software Corporación Universitaria Adventista,2009
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Consultoría Científico Tecnológica e Informe Técnico - Servicios de Proyectos de I+D+I,Sistema académico de proyectos integradores (GAPI): Un análisis de su implementación en el Programa de Ingeniería de Sistemas de la Corporación Universitaria Adventista.,2023
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Consultoría Científico Tecnológica e Informe Técnico - Servicios de Proyectos de I+D+I,"Diseño de prácticas STEAM a través de la integración de la electrónica, física y matemáticas, con los grados 9° del Instituto Colombo Venezolano",2021
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Consultoría Científico Tecnológica e Informe Técnico - Servicios de Proyectos de I+D+I,"Consultoría: Reingeniería de los procesos de promoción, inscripción y matrícula de la Corporación Universitaria Adventista",2018
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Consultoría Científico Tecnológica e Informe Técnico - Servicios de Proyectos de I+D+I,Consultoría: Propuesta de implementación del énfasis en sistemas (desarrollo de software) para el colegio Max Trummer,2018
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Consultoría Científico Tecnológica e Informe Técnico - Servicios de Proyectos de I+D+I,Prototipo de un Sistema de Alerta Temprana de Deserción,2023
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Consultoría Científico Tecnológica e Informe Técnico - Servicios de Proyectos de I+D+I,Creación de la malla curricular del Técnico Laboral como Asistente en Desarrollo de Software de la Corporación Universitaria Adventista,2022
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Consultoría Científico Tecnológica e Informe Técnico - Servicios de Proyectos de I+D+I,"Implementación de la educación media técnica en el Nodo de las Tecnologías para la Información y la Comunicación, en la especialidad de Programación de Software, en el Instituto Colombo Venezolano",2021
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,II SEMANA DE LA INGENIERÍA,2015
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,II ENCUENTRO DE LA RELACI,2015
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,III SEMANA DE LA INGENIERIA,2016
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,I SEMANA DE LA INGENIERÍA,2014
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,I SEMANA DE CIENCIA. TECNOLOGÍA E INNOVACIÓN,2015
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,XXXVIII Conferencia Latinoamericana en Informática,2012
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,1 Jornada de Grupos de investigación: ¿Amor a la investigación: un esencial del espíritu universitario¿,2011
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,IV congreso colombiano de computación,2009
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,"II SEMANA DE CIENCIA, TECNOLOGÍA E INNOVACIÓN",2017
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,SEMANA DE LA INVESTIGACIÓN FI 2017,2017
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,II CONGRESO INTERNACIONAL ADVENTISTA DE TECNOLOGÍA,2017
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,Encuentro Internacional de Educación en Ingeniería ACOFI,2017
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,Encuentro regional de Semilleros de investigación - REDCOLSI,2018
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,V SEMANA DE LA INGENIERÍA,2018
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,Encuentro Interno de Semilleros de investigación 2018,2018
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,IV SEMANA DE LA INGENIERÍA,2017
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,Encuentro Internacional de Educación en Ingeniería ACOFI 2023 (EIEI ACOFI 2022),2023
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,Encuentro Internacional de Educación en Ingeniería ACOFI 2023 (EIEI ACOFI 2023),2023
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,11° Jornada de Investigación de la Facultad de Ciencias Económicas y de la Administración,2024
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,VI Congreso Internacional Adventista de Tecnología,2024
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,II Jornada de experiencias pedagógica en Ingenierías,2024
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,Encuentro Internacional de Educación en Ingeniería ACOFI 2023 (EIEI ACOFI 2020),2023
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,"Congreso Internacional: ¿Tecnología, Innovación y Sistemas Inteligentes¿",2020
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,Conferencia Internacional de Investigación en Ciencia de Datos,2020
Investigador Junior,Jhon Fredy Niño Manrique,Masculino,Maestría,Evento científico,Conversatorio Panel de expertos en el lanzamiento del programa de Ingeniería Industrial,2018
