categoria,nombre,sexo,UltimaFormacionAcademica,NodoHijo,nodo_padre,Titulo_proyecto,año
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Evento científico,Divulgación Pública de la Ciencia,Jornada académica Internacional virtual Rol del Ingeniero Industrial en la empresa del futuro,2020
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Evento científico,Divulgación Pública de la Ciencia,VI SEMANA DE INGENIERÍA,2019
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Evento científico,Divulgación Pública de la Ciencia,XII Simposio Internacional de Ingeniería Industrial: Actualidad y Nuevas Tendencias 2019,2019
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Evento científico,Divulgación Pública de la Ciencia,"III SEMANA DE LA CIENCIA, TECNOLOGÍA E INNOVACIÓN",2019
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,Apropiación Social del Conocimiento,"Semillero de Investigación OPTIMA,",2019
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,Apropiación Social del Conocimiento,"Semana de la Sostenibilidad ,",2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,Apropiación Social del Conocimiento,"Taller: Exploradores del ODS,",2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,Apropiación Social del Conocimiento,"Taller: Exploradores del ODS - ICOLVEN,",2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,Apropiación Social del Conocimiento,"Taller de conservación ambiental,",2024
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,Apropiación Social del Conocimiento,"Taller Exploradores de los ODS,",2024
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,Apropiación Social del Conocimiento,"Taller de pensamiento computacional,",2024
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Proceso de Apropiación Social del Conocimiento para el fortalecimiento o solución de asuntos de interés social,Apropiación Social del Conocimiento,"Taller Exploradores de los ODS - JACBC,",2025
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Desarrollos web,Divulgación Pública de la Ciencia,"PLATAFORMA DEL CONSULTORIO EMPRESARIAL EN LOGÍSTICA DE LA CORPORACIÓN UNIVERSITARIA ADVENTISTA,",2023
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Desarrollos web,Divulgación Pública de la Ciencia,"Aplicación web para la RED DE PRODUCTIVIDAD - REDPROD,",2022
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Artículo,Nuevo Conocimiento,Promotion of Sustainable Development Strategies: A Systematic Implementation Analysis in Organizations and Higher Education Institutions,2025
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Artículo,Nuevo Conocimiento,Un Marco de Trabajo para Evaluar y Reportar la Sostenibilidad en Instituciones de Educación Superior,2025
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Artículo,Nuevo Conocimiento,EVALUATING AND REPORTING SUSTAINABILITY IN HIGHER EDUCATION INSTITUTIONS: IDENTIFICATION OF FACTORS AND INDICATORS,2025
Investigador Junior,Adriana Cristina Jimenez Ortiz,Femenino,Maestría,Capítulos de libro,Nuevo Conocimiento,METODOLOGÍA ACTIVA: APRENDIZAJE BASADO EN PROBLEMAS,2022
